,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
40,Tubuala,40,PA,1567724054,79,9.52,-79.03,84.2,6.93
41,Cape Town,0,ZA,1567724008,76,-33.93,18.42,59.0,9.17
42,Comodoro Rivadavia,40,AR,1567724055,70,-45.87,-67.48,46.4,16.11
43,Hradec Kralove,0,CZ,1567724055,48,50.21,15.83,64.4,6.93
44,Plettenberg Bay,0,ZA,1567724055,80,-34.05,23.37,48.83,4.72
45,Chulman,68,RU,1567724055,73,56.84,124.9,56.39,7.94
46,Mount Isa,36,AU,1567724055,48,-20.73,139.49,66.2,15.66
47,Flinders,20,AU,1567724056,100,-34.58,150.85,66.99,4.65
48,Meru,88,KE,1567724056,82,0.05,37.65,49.55,3.8
49,Sisimiut,89,GL,1567724056,85,66.94,-53.67,41.63,9.69
50,Hasaki,40,JP,1567724056,100,35.73,140.83,77.0,2.24
51,Hobart,66,AU,1567724040,93,-42.88,147.33,53.01,5.82
52,Xiongzhou,75,CN,1567724057,94,32.34,118.83,75.2,2.24
53,Kurumkan,100,RU,1567724057,93,54.33,110.32,41.81,5.3
54,Puerto Escondido,75,MX,1567724057,59,15.86,-97.07,91.4,8.05
55,Luxor,0,EG,1567723796,38,25.7,32.65,87.8,3.36
56,San Ramon,75,NI,1567724057,78,12.92,-85.84,75.2,6.93
57,Turukhansk,100,RU,1567724058,85,65.8,87.96,49.91,5.91
58,Pandan,100,PH,1567724058,78,11.72,122.09,82.85,15.48
59,Bluff,0,AU,1567724058,15,-23.58,149.07,78.89,7.78
60,Dikson,100,RU,1567724058,97,73.51,80.55,43.25,13.22
61,Kruisfontein,4,ZA,1567724059,85,-34.0,24.73,47.21,10.29
62,Vaini,100,IN,1567724059,92,15.34,74.49,76.55,8.23
63,Nara,40,JP,1567723946,78,34.68,135.8,82.99,8.05
64,Portland,75,US,1567724018,63,43.66,-70.25,66.2,9.17
65,Ribeira Grande,42,PT,1567724059,79,38.52,-28.7,70.61,13.65
66,Millinocket,1,US,1567724060,42,45.66,-68.71,68.0,8.05
67,Turan,15,RU,1567724060,86,52.15,93.92,35.69,1.83
68,Rognan,75,NO,1567724060,93,67.1,15.4,46.99,10.29
69,Saldanha,0,PT,1567724061,54,41.42,-6.55,59.63,11.59
70,Ancud,20,CL,1567724061,70,-41.87,-73.83,46.4,4.7
71,Georgetown,20,GY,1567724052,70,6.8,-58.16,84.2,11.41
72,Atuona,20,PF,1567724061,66,-9.8,-139.03,79.43,5.93
73,Nemuro,93,JP,1567724061,93,43.32,145.57,65.75,7.29
74,Okha,5,RU,1567724062,74,53.59,142.95,59.27,13.49
75,Trat,100,TH,1567724062,88,12.25,102.51,82.99,2.68
76,Siguiri,100,GN,1567724062,87,11.42,-9.17,73.31,1.57
77,Yellowknife,90,CA,1567724062,81,62.45,-114.38,51.8,8.05
78,Sarkand,99,KZ,1567724063,80,45.41,79.91,56.57,12.71
79,Vostok,55,RU,1567724063,70,46.45,135.83,73.49,1.72
80,Iqaluit,75,CA,1567724063,70,63.75,-68.52,46.4,2.24
81,Temerloh,60,MY,1567723821,92,3.45,102.42,73.31,0.98
82,Hamilton,20,CA,1567723988,52,43.26,-79.87,71.01,5.82
83,Bayan,100,CN,1567724064,67,36.1,102.26,57.47,1.23
84,Tuktoyaktuk,75,CA,1567724064,81,69.44,-133.03,50.0,3.36
85,Tiksi,100,RU,1567724064,75,71.64,128.87,40.73,5.59
86,Senanga,0,ZM,1567724065,25,-16.1,23.3,63.77,5.97
87,Poronaysk,92,RU,1567724065,94,49.22,143.1,63.41,2.59
88,Palana,100,RU,1567724065,85,59.08,159.95,52.25,13.6
89,Torbay,90,CA,1567724065,88,47.66,-52.73,68.0,16.11
90,Cherskiy,92,RU,1567724066,54,68.75,161.3,49.19,6.62
91,Houston,1,US,1567723852,37,29.76,-95.37,98.01,7.61
92,Jasper,20,US,1567724067,33,33.83,-87.28,91.4,6.53
93,Lorengau,97,PG,1567724067,87,-2.02,147.27,78.17,4.83
94,Jumla,99,NP,1567724067,96,29.28,82.18,55.13,1.5
95,Nambutalai,76,IN,1567724067,66,9.72,79.0,80.33,6.69
96,Mehran,0,IR,1567724068,26,33.12,46.17,71.6,4.7
97,Mehamn,0,NO,1567724068,87,71.03,27.85,46.4,3.36
98,Fuling,78,CN,1567724068,87,29.71,107.39,72.59,1.43
99,Aviles,40,ES,1567724068,77,43.55,-5.92,64.0,2.24
100,Kiunga,70,PG,1567724068,82,-6.12,141.3,74.75,2.95
101,Lakes Entrance,100,AU,1567724069,96,-37.88,147.99,53.01,6.55
102,Alberton,92,ZA,1567724069,71,-26.25,28.13,59.0,4.7
103,Mar del Plata,97,AR,1567724069,79,-46.43,-67.52,39.11,9.64
104,Solnechnyy,97,RU,1567724069,88,50.72,136.64,61.97,1.95
105,Vardo,90,US,1567724070,69,39.62,-77.74,75.0,8.05
106,Dudinka,75,RU,1567724070,93,69.41,86.18,50.0,15.66
107,Beira,40,ES,1567724070,72,43.2,-8.36,64.0,6.93
108,Hirado,98,JP,1567724070,88,33.32,129.49,80.6,12.75
109,Mahebourg,20,MU,1567724071,83,-20.41,57.7,69.8,3.36
110,Souillac,0,FR,1567724071,58,45.6,-0.6,59.0,5.82
111,Kamenka,0,MD,1567724071,85,48.03,28.7,50.0,2.84
112,Faanui,39,PF,1567724072,81,-16.48,-151.75,75.83,23.22
113,Port Elizabeth,75,US,1567724073,78,39.31,-74.98,75.2,11.41
114,Jian,62,IN,1567724073,87,25.65,87.89,80.69,6.17
115,Leshukonskoye,100,RU,1567724074,94,64.9,45.76,48.83,5.64
116,Tarata,40,PE,1567724074,77,-17.47,-70.03,62.6,5.82
117,Victoria,75,BN,1567724075,94,5.28,115.24,80.6,5.5
118,Luba,93,PH,1567724075,85,17.32,120.7,79.79,11.9
119,North Platte,40,US,1567724075,41,41.12,-100.77,93.2,8.05
120,Kaitangata,100,NZ,1567724075,73,-46.28,169.85,46.0,8.01
121,Umm Kaddadah,80,SD,1567724076,59,13.6,26.69,81.23,10.07
122,Reyes,49,BO,1567724076,55,-14.3,-67.34,86.0,1.9
123,Saint-Philippe,1,CA,1567724077,56,45.36,-73.48,70.0,5.82
124,Chuy,72,UY,1567724077,79,-33.69,-53.46,48.47,8.46
125,Tezu,63,IN,1567724077,76,27.93,96.16,74.03,1.52
126,Paamiut,100,GL,1567724077,71,61.99,-49.67,43.43,5.79
127,Qaanaaq,77,GL,1567724077,58,77.48,-69.36,29.57,6.13
128,Westport,1,US,1567723808,56,41.14,-73.36,71.6,2.93
129,Tabou,89,CI,1567724082,95,4.42,-7.36,73.67,3.6
130,Imeni Poliny Osipenko,67,RU,1567724083,79,52.42,136.49,64.67,2.08
131,Srednekolymsk,86,RU,1567724083,50,67.46,153.71,47.93,9.35
132,Avarua,92,CK,1567723976,65,-21.21,-159.78,77.0,26.4
133,Tasiilaq,84,GL,1567724083,70,65.61,-37.64,44.6,10.29
134,Staraya Kulatka,94,RU,1567724083,73,52.73,47.62,50.45,2.15
135,Petauke,0,ZM,1567724084,34,-14.25,31.33,69.53,10.33
136,Northam,0,AU,1567724084,61,-31.65,116.67,46.4,16.11
137,Zverinogolovskoye,99,RU,1567724084,94,54.46,64.85,47.93,12.39
138,Peringat,75,MY,1567724084,94,5.99,102.3,78.8,1.12
139,Hithadhoo,62,MV,1567724084,79,-0.6,73.08,82.49,14.94
140,Chokurdakh,100,RU,1567724085,72,70.62,147.9,38.57,4.61
141,Tomohon,20,ID,1567724085,88,1.33,124.84,73.4,5.03
142,Sinazongwe,0,ZM,1567724085,34,-17.26,27.46,63.23,3.83
143,Dingle,88,PH,1567724085,79,11.0,122.67,81.23,7.38
144,Bilibino,28,RU,1567724086,56,68.06,166.44,49.01,4.0
145,Khatanga,100,RU,1567724086,98,71.98,102.47,47.03,4.21
146,East London,83,ZA,1567724086,82,-33.02,27.91,50.63,4.21
147,Springville,1,US,1567724086,15,40.17,-111.61,91.4,17.22
148,Angoche,0,MZ,1567724086,88,-16.23,39.91,67.19,3.89
149,Ntcheu,27,MW,1567724087,40,-14.82,34.64,58.19,4.88
150,Mhlume,99,SZ,1567724087,83,-26.03,31.81,64.0,3.0
151,Laredo,75,US,1567723900,88,27.51,-99.51,78.8,3.36
152,Zalantun,56,CN,1567724087,94,48.0,122.72,62.69,2.77
153,Kodiak,1,US,1567724087,62,39.95,-94.76,91.99,9.17
154,Kapaa,75,US,1567724087,62,22.08,-159.32,89.6,16.11
155,Harper,40,US,1567724088,28,30.3,-99.24,96.8,4.7
156,Waddan,11,LY,1567724088,48,29.16,16.14,77.09,9.89
157,Airai,91,TL,1567724088,49,-8.93,125.41,79.25,2.42
158,Bathsheba,20,BB,1567724088,74,13.22,-59.52,84.2,5.82
159,Cabo San Lucas,75,MX,1567723983,49,22.89,-109.91,89.6,16.11
160,Contamana,60,PE,1567724089,84,-7.35,-75.01,74.03,2.98
161,Muroto,75,JP,1567724089,83,33.37,134.14,77.0,3.36
162,Butaritari,48,KI,1567724089,70,3.07,172.79,84.83,10.4
163,Solano,93,CO,1567724089,94,0.7,-75.25,73.85,1.95
164,Rosarito,75,CO,1567724089,29,4.91,-75.23,91.4,8.05
165,Nikolskoye,0,RU,1567724090,82,59.7,30.79,57.99,6.71
166,San Carlos,100,NI,1567724090,65,11.12,-84.78,75.0,5.99
167,Baltasi,100,RU,1567724090,77,56.34,50.21,55.31,1.32
168,Gualan,35,GT,1567724090,89,15.12,-89.36,73.85,4.34
169,San Pedro Carcha,86,GT,1567724090,94,15.48,-90.31,67.37,0.58
170,Ilulissat,40,GL,1567724091,60,69.22,-51.1,42.8,2.24
171,San Cristobal,35,HN,1567724091,56,14.68,-86.92,77.45,7.92
172,New Norfolk,66,AU,1567724091,93,-42.78,147.06,53.01,5.82
173,Pumiao,45,CN,1567724091,94,22.75,108.49,77.0,2.24
174,North Bend,90,US,1567724092,88,43.41,-124.22,70.0,8.05
175,Klaksvik,100,FO,1567724092,93,62.23,-6.59,48.2,3.36
176,Castro,20,CL,1567724096,70,-42.48,-73.76,46.4,4.7
177,Pedasi,76,PA,1567724096,89,7.53,-80.03,76.55,1.99
178,Ornes,0,FR,1567724096,71,49.25,5.47,55.4,5.82
179,Provideniya,90,RU,1567724096,87,64.42,-173.23,48.2,2.24
180,Bambous Virieux,20,MU,1567724096,83,-20.34,57.76,69.8,3.36
181,Omboue,100,GA,1567724096,85,-1.57,9.26,74.57,12.06
182,Broome,41,GB,1567724097,81,52.47,1.45,54.0,8.05
183,Alice Springs,0,AU,1567723935,44,-23.7,133.88,60.8,13.87
184,Tepic,75,MX,1567724097,100,21.5,-104.89,80.01,2.33
185,Salalah,75,OM,1567724097,88,17.01,54.1,78.8,3.36
186,Verkhoyansk,94,RU,1567724097,72,67.55,133.39,45.95,3.6
187,Norman Wells,75,CA,1567724098,87,65.28,-126.83,57.2,11.41
188,Bambanglipuro,86,ID,1567724098,83,-7.95,110.28,74.03,6.93
189,Barabai,77,ID,1567724098,71,-2.59,115.38,79.61,1.14
190,Upernavik,0,GL,1567723940,77,72.79,-56.15,39.65,5.86
191,Ponta do Sol,73,BR,1567724099,77,-20.63,-46.0,68.27,10.47
192,Fairbanks,1,US,1567724099,59,64.84,-147.72,63.0,4.7
193,Tautira,75,PF,1567724099,61,-17.73,-149.15,82.0,6.93
194,Akonolinga,100,CM,1567724099,99,3.77,12.24,68.45,1.99
195,Arraial do Cabo,75,BR,1567724099,93,-22.97,-42.02,64.4,9.17
196,Byron Bay,0,AU,1567724100,88,-28.65,153.62,72.0,4.7
197,Venezuela,69,CU,1567724100,88,21.74,-78.8,77.99,5.93
198,Leningradskiy,53,RU,1567724100,87,69.38,178.42,43.43,3.89
199,Batagay,98,RU,1567724100,91,67.65,134.64,42.71,0.78
200,Port Hardy,75,CA,1567724101,82,50.7,-127.42,57.2,4.7
201,Antanifotsy,24,MG,1567724101,83,-19.66,47.32,48.29,0.43
202,Lebu,75,ET,1567724101,87,8.96,38.73,55.4,8.05
203,Eureka,90,US,1567723890,72,40.8,-124.16,70.0,12.75
204,Chamrajnagar,100,IN,1567724101,86,11.92,76.95,70.07,13.2
205,Nuuk,75,GL,1567724102,52,64.17,-51.74,46.4,4.7
206,Kakucs,0,HU,1567724102,87,47.24,19.37,59.0,1.12
207,Pascagoula,1,US,1567724102,70,30.37,-88.56,96.8,5.55
208,San Quintin,93,PH,1567724102,85,17.54,120.52,79.79,11.9
209,Tevriz,89,RU,1567724102,88,57.51,72.4,46.13,7.2
210,Kampot,40,KH,1567724103,78,10.62,104.18,82.4,9.17
211,Wapi Pathum,20,TH,1567724103,94,15.84,103.38,77.0,5.82
212,Hilo,90,US,1567724103,66,19.71,-155.08,84.2,12.75
213,Urengoy,99,RU,1567724103,74,65.96,78.37,51.89,8.9
214,Husainabad,76,IN,1567724103,89,24.53,84.02,78.89,4.5
215,Pevek,42,RU,1567724104,75,69.7,170.27,42.89,1.34
216,Shimoda,34,JP,1567724105,74,34.7,138.93,82.99,1.01
217,Laguna,75,BZ,1567724105,70,16.17,-88.94,89.6,6.93
218,Bom Jesus,0,BR,1567724105,29,-9.08,-44.36,78.53,4.88
219,Longyearbyen,75,NO,1567724105,86,78.22,15.63,33.8,14.99
220,Jalu,0,LY,1567724106,74,29.03,21.55,73.67,7.72
221,Havre-Saint-Pierre,40,CA,1567724106,81,50.23,-63.6,50.0,20.8
222,Siniscola,0,IT,1567724106,64,40.57,9.69,73.4,12.75
223,Kargasok,79,RU,1567724106,84,59.06,80.87,43.07,4.38
224,Inhambane,0,MZ,1567724106,95,-23.87,35.38,63.41,4.41
225,Anadyr,75,RU,1567724107,76,64.73,177.51,50.0,2.24
226,Ust-Kuyga,98,RU,1567724107,85,70.0,135.55,43.07,2.26
227,Port Macquarie,0,AU,1567724107,93,-31.43,152.91,66.99,4.7
228,Ordynskoye,46,RU,1567724107,94,54.37,81.9,45.59,9.89
229,Mount Gambier,75,AU,1567724107,93,-37.83,140.78,46.4,9.17
230,Hami,28,CN,1567724108,37,42.84,93.51,68.09,10.96
231,Saint George,20,GR,1567724057,73,39.45,22.34,69.8,0.92
232,Qianan,0,CN,1567724108,78,44.99,124.06,72.05,5.55
233,Atar,29,MR,1567724108,30,20.52,-13.05,96.53,5.66
234,Verkhnyaya Inta,36,RU,1567724108,82,65.99,60.32,52.97,7.92
235,Port Lincoln,70,AU,1567724109,69,-34.72,135.86,53.87,32.88
236,Samarai,77,PG,1567724109,59,-10.62,150.67,75.47,8.03
237,Jieshi,0,CN,1567724109,88,22.82,115.83,80.01,1.01
238,San Juan,70,AR,1567724109,45,-31.54,-68.53,42.71,4.68
239,Raudeberg,98,NO,1567724109,81,61.99,5.14,48.2,10.29
240,Inirida,60,CO,1567724110,80,3.87,-67.92,77.27,1.66
241,Monrovia,75,LR,1567724110,94,6.33,-10.8,77.0,8.21
242,Mendeleyevo,40,RU,1567724110,100,56.04,37.23,60.01,4.47
243,Kungurtug,98,RU,1567724110,95,50.6,97.53,40.73,2.53
244,Wainwright,0,CA,1567724111,56,52.84,-110.86,65.75,7.34
245,Southbridge,1,US,1567724111,63,42.08,-72.03,69.01,4.7
246,Elat,100,CM,1567724111,99,2.91,11.16,68.09,1.77
247,Guerrero Negro,0,MX,1567724111,77,27.97,-114.04,74.57,9.95
248,Padang,74,ID,1567724112,84,-0.92,100.36,80.51,12.62
249,Egvekinot,99,RU,1567724112,73,66.32,-179.17,44.51,3.2
250,Sohag,0,EG,1567724112,35,26.55,31.7,84.2,5.82
251,Hollins,90,US,1567724112,69,37.35,-79.95,80.6,10.29
252,Shirokiy,87,RU,1567724113,61,53.87,39.17,59.63,8.81
253,Bahia Blanca,100,AR,1567723868,62,-38.72,-62.27,44.33,8.9
254,Barcelos,83,BR,1567724095,77,-0.97,-62.93,79.43,4.45
255,Dabakala,97,CI,1567724114,98,8.36,-4.43,71.87,4.83
256,Chabahar,14,IR,1567724114,83,25.29,60.65,80.15,3.29
257,Olhao,0,PT,1567724114,88,37.03,-7.84,75.99,5.82
258,Kavieng,42,PG,1567724114,74,-2.57,150.8,82.31,10.4
259,Port Hedland,0,AU,1567724115,93,-20.31,118.58,60.8,4.7
260,Viedma,100,AR,1567724115,75,-40.81,-62.99,40.91,9.8
261,Liberty,1,US,1567723953,68,39.64,-84.93,78.8,5.82
262,Matagami,87,NG,1567724115,94,9.67,8.4,69.17,0.85
263,Dubbo,0,AU,1567724115,23,-32.25,148.6,64.4,9.17
264,Gamba,78,CN,1567724116,79,28.28,88.52,39.29,2.68
265,Codajas,79,BR,1567724116,58,-3.84,-62.06,83.57,1.1
266,Black River,20,JM,1567724116,74,18.03,-77.85,86.0,8.05
267,Belmonte,0,PT,1567724116,39,40.36,-7.35,69.01,8.01
268,Lompoc,1,US,1567724116,29,34.64,-120.46,91.4,10.29
269,Avera,1,US,1567724117,49,33.19,-82.53,93.2,6.93
270,Saint-Pierre,0,FR,1567724117,76,48.95,4.24,53.6,9.17
271,Makakilo City,40,US,1567724118,52,21.35,-158.09,91.4,11.41
272,Fengcheng,100,CN,1567724118,93,40.45,124.07,69.35,2.06
273,Conceicao do Mato Dentro,17,BR,1567724118,82,-19.04,-43.42,67.19,5.59
274,Tucumcari,1,US,1567724118,17,35.17,-103.73,95.0,13.87
275,Bowen,0,AU,1567724119,55,-20.01,148.25,77.0,6.24
276,Surt,0,LY,1567724119,72,31.21,16.59,78.89,3.98
277,Kirovskiy,100,RU,1567724119,89,45.09,133.51,67.55,4.41
278,Karratha,0,AU,1567724119,35,-20.74,116.85,66.47,1.95
279,Hofn,86,IS,1567724120,96,64.25,-15.21,32.45,1.99
280,Cap Malheureux,20,MU,1567724120,83,-19.98,57.61,69.8,3.36
281,Kuusamo,75,FI,1567724120,82,65.96,29.19,57.2,12.75
282,Grand Gaube,20,MU,1567724104,83,-20.01,57.66,69.8,3.36
283,Adrar,40,DZ,1567724121,44,27.87,-0.29,80.6,16.11
284,Nanortalik,100,GL,1567724121,85,60.14,-45.24,43.43,4.74
285,Yazd,0,IR,1567724121,19,31.89,54.36,78.8,9.17
286,Severo-Kurilsk,100,RU,1567724121,96,50.68,156.12,50.45,14.18
287,Killybegs,100,IE,1567724122,89,54.63,-8.45,55.99,10.0
288,Magadan,29,RU,1567724122,88,59.56,150.8,53.51,1.83
289,Quesnel,1,CA,1567724122,38,52.98,-122.49,75.2,4.7
290,Mayakonda,100,IN,1567724122,90,14.29,76.08,71.69,16.33
291,Ketchikan,1,US,1567724122,77,55.34,-131.65,60.8,17.22
292,Hambantota,49,LK,1567724123,82,6.12,81.12,80.87,16.42
293,Thinadhoo,52,MV,1567724123,80,0.53,72.93,82.31,13.91
294,Tateyama,40,JP,1567724123,65,36.66,137.31,84.99,6.93
295,Luderitz,0,NA,1567724124,35,-26.65,15.16,71.6,12.75
296,Cabedelo,0,BR,1567724124,88,-6.97,-34.84,75.2,6.93
297,Tanout,90,NE,1567724124,57,14.97,8.88,81.23,14.81
298,Oparino,40,RU,1567724124,96,59.85,48.28,50.09,2.62
299,Andros Town,13,BS,1567724124,76,24.73,-77.79,87.01,1.01
300,Saint-Joseph,1,FR,1567724125,78,43.56,6.97,75.2,8.05
301,Balsas,33,BR,1567724125,35,-7.53,-46.04,80.87,4.34
302,Ambilobe,56,MG,1567724126,87,-13.19,49.05,67.37,3.56
303,Deputatskiy,68,RU,1567724126,60,69.3,139.9,42.71,2.82
304,Vila Velha,0,BR,1567723922,74,-3.71,-38.6,80.6,8.05
305,Pokhara,100,NP,1567723985,93,28.21,83.99,57.11,1.97
306,Gat,20,SN,1567724126,88,14.69,-16.54,84.2,2.24
307,Isilkul,66,RU,1567724126,91,54.9,71.26,47.03,16.89
308,Esperance,46,AU,1567724127,93,-33.86,121.89,35.6,8.05
309,Neiafu,40,TO,1567724127,69,-18.65,-173.98,77.0,4.7
310,Pisco,0,PE,1567724128,30,-13.71,-76.2,71.6,12.75
311,Half Moon Bay,1,US,1567724128,72,37.46,-122.43,75.99,11.41
312,Kashmor,38,PK,1567724128,43,28.43,69.58,95.27,5.75
313,Zapolyarnyy,75,RU,1567724128,93,69.43,30.82,48.2,12.75
314,Marsa Matruh,0,EG,1567724128,69,31.35,27.25,77.0,6.93
315,Morros,40,BR,1567724129,78,-2.87,-44.04,80.6,13.87
316,Praia da Vitoria,75,PT,1567724016,77,38.73,-27.07,69.8,18.75
317,Kulhudhuffushi,100,MV,1567724129,80,6.62,73.07,82.13,10.71
318,Pringsewu,87,ID,1567724129,85,-5.36,104.98,69.53,0.85
319,Funtua,50,NG,1567724130,93,11.52,7.31,70.43,5.41
320,Beringovskiy,49,RU,1567724130,69,63.05,179.32,52.43,2.35
321,Iranshahr,18,IR,1567724130,17,27.21,60.69,76.91,5.14
322,Staryy Nadym,93,RU,1567724130,77,65.61,72.68,54.05,11.34
323,Oron,97,NG,1567724130,96,4.81,8.23,73.31,2.59
324,Walvis Bay,0,NA,1567724130,87,-22.95,14.51,55.0,4.7
325,Lodja,63,CD,1567724131,68,-3.52,23.6,74.39,2.42
326,Muscat,0,OM,1567723911,62,23.6,58.55,86.0,2.24
327,Santa Cruz,12,BR,1567724131,75,-6.22,-36.02,71.33,17.43
328,Wanning,90,AT,1567724131,87,48.64,13.53,57.99,10.29
329,Carballo,40,ES,1567724131,72,43.21,-8.69,64.0,6.93
330,Kaeo,22,NZ,1567724132,100,-35.1,173.78,53.01,19.44
331,Sretensk,25,RU,1567724132,80,52.24,117.7,58.19,2.73
332,Ljungby,40,SE,1567724132,100,56.83,13.94,55.4,9.17
333,Linxia,91,CN,1567724132,67,35.6,103.21,59.09,3.74
334,Corowa,75,AU,1567724132,93,-36.0,146.39,53.6,3.36
335,Hobyo,76,SO,1567724133,82,5.35,48.53,76.55,21.9
336,Ubatuba,90,BR,1567723873,77,-23.43,-45.08,60.8,8.05
337,Rocha,97,UY,1567724133,92,-34.48,-54.34,38.75,3.65
338,Bukama,63,CD,1567724133,43,-9.2,25.85,70.43,2.26
339,Honningsvag,0,NO,1567724133,87,70.98,25.97,46.4,3.36
340,Rudnogorsk,86,RU,1567724134,92,57.27,103.75,42.53,3.6
341,Ginda,88,IN,1567724134,95,30.69,78.49,61.43,1.61
342,Marzuq,94,YE,1567724134,28,14.4,46.47,83.75,3.02
343,Sur,100,OM,1567724121,57,22.57,59.53,79.97,0.81
344,Ust-Tsilma,4,RU,1567724135,97,65.44,52.15,45.41,1.88
345,Mount Pleasant,1,US,1567724135,32,33.16,-94.97,98.6,3.36
346,Kawalu,88,ID,1567724135,80,-7.38,108.21,67.73,4.65
347,Dicabisagan,100,PH,1567724135,75,17.08,122.42,80.87,1.25
348,Taoudenni,4,ML,1567724136,15,22.68,-3.98,99.77,10.04
349,Dzaoudzi,0,YT,1567724136,94,-12.79,45.27,69.8,3.36
350,Mitsamiouli,0,KM,1567724136,73,-11.38,43.28,77.09,4.9
351,Biloela,0,AU,1567724136,15,-24.4,150.51,79.97,14.29
352,Sao Filipe,100,CV,1567724136,82,14.9,-24.5,79.97,17.07
353,Tevaitoa,67,PF,1567724137,80,-16.78,-151.5,74.75,23.06
354,Lasa,40,CY,1567724137,83,34.92,32.53,78.8,4.7
355,Fonte Boa,79,BR,1567724137,86,-2.51,-66.09,78.35,8.34
356,Cukai,98,MY,1567724137,94,4.25,103.42,77.0,3.36
357,Yenagoa,100,NG,1567724137,95,4.92,6.26,75.11,3.33
358,Xinzhi,75,TW,1567724138,94,22.54,120.62,80.6,3.22
359,Barberton,100,SZ,1567724147,93,-25.78,31.05,64.0,4.7
360,Kununurra,16,AU,1567724147,93,-15.77,128.74,64.4,3.36
361,Portobelo,40,PA,1567724147,79,9.55,-79.65,84.2,6.93
362,Tiarei,75,PF,1567724148,61,-17.53,-149.33,82.0,6.93
363,Katsuura,75,JP,1567724148,88,33.93,134.5,79.0,9.17
364,Gotsu,92,JP,1567724148,80,35.01,132.22,79.97,12.71
365,Souris,20,CA,1567724148,45,46.36,-62.25,64.4,5.82
366,Tamandare,68,BR,1567724148,84,-8.28,-70.75,74.21,3.62
367,Shelburne,1,CA,1567724149,55,44.08,-80.2,69.01,9.17
368,Itarema,0,BR,1567724149,86,-2.92,-39.92,75.29,5.44
369,Bredasdorp,5,ZA,1567724149,71,-34.53,20.04,57.0,13.87
370,Zhezkazgan,100,KZ,1567724149,75,47.8,67.71,51.35,18.52
371,Palmer,40,AU,1567724149,66,-34.85,139.16,54.0,24.16
372,Ciudad Bolivar,21,VE,1567724150,64,8.12,-63.55,83.39,4.23
373,Ulladulla,20,AU,1567724150,100,-35.36,150.48,61.0,6.6
374,Puerto Leguizamo,90,CO,1567724150,94,-0.19,-74.78,73.85,0.29
